name,email,sector,city,phone,website,address,formations,description,url
LEGTA - Lycée Agricole du Bourbonnais,Non trouvé,Lycée agricole,Moulins,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_lycee_agricole_du_bourbonnais-6489
LEGTA - LEGTA de Pau-Montardon,Non trouvé,Lycée agricole,Pau,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_legta_de_pau_montardon-6490
LEGTA de Nevers-Cosne - Site de Challuy,Non trouvé,Lycée agricole,Nevers,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_de_nevers_cosne_site_de_challuy-6491
LEGTA du Morvan,Non trouvé,Lycée agricole,Nevers,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_du_morvan-6492
LEGTA de l'Oise antenne d'Airion,Non trouvé,Lycée agricole,Compiègne,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_de_l_oise_antenne_d_airion-6493
LEGTA de Laval,Non trouvé,Lycée agricole,Laval,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_de_laval-6494
LEGTA de l'Aulne,Non trouvé,Lycée agricole,Quimper,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_de_l_aulne-6495
LEGTA - LEGTA de la Lozère site Rabelais,Non trouvé,Lycée agricole,Mende,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_legta_de_la_lozere_site_rabelais-6496
LEGTA du Pas de Calais - Site d'Arras,Non trouvé,Lycée agricole,Arras,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_du_pas_de_calais_site_d_arras-6497
LEGTA de Brioude Bonnefont,Non trouvé,Lycée agricole,Le Puy-en-Velay,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_de_brioude_bonnefont-6498
LEGTA de Blanquefort,Non trouvé,Lycée agricole,Blanquefort,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_de_blanquefort-6499
LEGTA du Nord-Site de Douai,Non trouvé,Lycée agricole,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_du_nord_site_de_douai-6500
LEGTA La Germinière,Non trouvé,Lycée agricole,Le Mans,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_la_germiniere-6501
LEGTA de Bazas,Non trouvé,Lycée agricole,Bordeaux,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_de_bazas-6502
