Nom,Ville,Email,Téléphone,Site Web,Adresse,Formations
"ICM - Institut de la communication et des médias, Université Stendhal - Grenoble 3",Grenoble,Non trouvé,Non trouvé,Non trouvé,,
"IFTS - Institut de formation technique supérieur, Université de Reims Champagne-Ardenne",Charleville-Mézières,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de théologie institut catholique de Toulouse, Institut catholique de Toulouse",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de théologie protestante, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences juridiques, politiques et sociales, Université de Lille 2",Lille,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences pharmaceutiques, Université Toulouse III",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de théologie catholique, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences juridiques et politiques Alexis de Tocqueville, Université d'Artois",Lille,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences, Université d'Orléans",Orléans,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - Faculté des sports et de l'éducation physique - Artois, Université d'Artois",Arras,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et technologies - Département informatique, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et technologies - Département mécanique, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et technologies - Département de physique, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"FST - Faculté des sciences et technologies, Nancy-Université - Université Henri Poincaré",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et technologies - Département génie électrique et des procédés, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et technologies - Département mathématiques, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et technologies - Département sciences de la terre, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences Jean Perrin, Université d'Artois",Arras,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et technologies - Département chimie biochimie, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et technologies - Département biologie, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et techniques, Université de Haute Alsace Mulhouse",Colmar,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et techniques de Saint-Jérôme, Université Paul Cézanne - Aix-Marseille III",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et techniques, Université de Limoges",Limoges,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et sciences de l'ingénieur, Université Bretagne Sud",Vannes,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences du sport, Université Aix-Marseille II",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences et sciences de l'ingénieur, Université Bretagne Sud",Lorient,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences du sport, Université de Poitiers",Poitiers,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences du sport, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences du sport, Université de Poitiers",Angoulême,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences de la vie, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"FSMS - Faculté des sciences et des métiers du sport, Université de Valenciennes",Lille,Non trouvé,Non trouvé,Non trouvé,,
"STAPS - Faculté des sciences du sport, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences économiques et de gestion, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences économiques et de gestion - département ingénierie économique et financière, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences appliquées, Université d'Artois",Arras,Non trouvé,Non trouvé,Non trouvé,,
